series_ticker,discovered_via,tier,engine,family,model_output,priced_by,map_notes,event_ticker,market_ticker,title,subtitle,market_status,yes_bid,yes_ask,mid,last_price,volume,open_interest,liquidity_$
KXLATENIGHTMENTION,event_scan,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field media,KXLATENIGHTMENTION-26JUL01,KXLATENIGHTMENTION-26JUL01-RONA,What will James Corden say during FOX: FIFA World Cup on Fox After Hours with James Corden?,Ronaldo,active,0.99,1.0,0.995,0.99,113096.35,99287.25,0.0000
KXLATENIGHTMENTION,event_scan,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field media,KXLATENIGHTMENTION-26JUL01,KXLATENIGHTMENTION-26JUL01-RED,What will James Corden say during FOX: FIFA World Cup on Fox After Hours with James Corden?,Red Card,active,0.0,0.01,0.005,0.01,26492.03,21312.33,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-COD,Will Congo DR win the 2026 Men's World Cup?,Congo DR,active,0.0,0.01,0.005,0.01,560318.25,560268.25,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-BIH,Will Bosnia and Herzegovina win the 2026 Men's World Cup?,Bosnia and Herzegovina,active,0.0,0.01,0.005,0.01,763194.83,763083.83,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CPV,Will Cape Verde win the 2026 Men's World Cup?,Cape Verde,active,0.001,0.002,0.0015,0.002,23900876.48,20807930.80,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-DZA,Will Algeria win the 2026 Men's World Cup?,Algeria,active,0.001,0.002,0.0015,0.002,17504191.89,15802608.73,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-EGY,Will Egypt win the 2026 Men's World Cup?,Egypt,active,0.001,0.002,0.0015,0.002,16694223.62,14435945.94,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-PY,Will the Paraguay win the 2026 Men's World Cup?,Paraguay,active,0.002,0.003,0.0025,0.003,21102132.17,17184933.41,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-GH,Will the Ghana win the 2026 Men's World Cup?,Ghana,active,0.001,0.002,0.0015,0.002,15245816.21,13808939.09,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-AU,Will the Australia win the 2026 Men's World Cup?,Australia,active,0.001,0.002,0.0015,0.002,14170037.50,12964707.89,0.0000
