series_ticker,event_ticker,market_ticker,title,yes_bid,yes_ask,mid,last_price,volume,open_interest,status
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-COD,Will Congo DR win the 2026 Men's World Cup?,0.0,0.01,0.005,0.01,467373.81,467323.81,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-BIH,Will Bosnia and Herzegovina win the 2026 Men's World Cup?,0.0,0.01,0.005,0.01,468283.80,468172.80,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CIV,Will Ivory Coast win the 2026 Men's World Cup?,0.002,0.003,0.0025,0.003,20298031.12,15846397.12,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CPV,Will Cape Verde win the 2026 Men's World Cup?,0.001,0.002,0.0015,0.002,19826989.98,17518142.66,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-DZA,Will Algeria win the 2026 Men's World Cup?,0.0,0.001,0.0005,0.001,11760743.88,10720538.57,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-EGY,Will Egypt win the 2026 Men's World Cup?,0.001,0.002,0.0015,0.002,13956358.19,11740320.08,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-PY,Will the Paraguay win the 2026 Men's World Cup?,0.003,0.004,0.0035,0.004,18920851.89,15171066.08,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-GH,Will the Ghana win the 2026 Men's World Cup?,0.0,0.001,0.0005,0.001,13373723.09,12191570.35,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-AU,Will the Australia win the 2026 Men's World Cup?,0.001,0.002,0.0015,0.002,13174605.96,12000662.27,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-SN,Will the Senegal win the 2026 Men's World Cup?,0.003,0.004,0.0035,0.004,15017204.30,13001263.13,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-SE,Will the Sweden win the 2026 Men's World Cup?,0.001,0.002,0.0015,0.002,16152934.03,14253117.41,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-NO,Will the Norway win the 2026 Men's World Cup?,0.019,0.02,0.0195,0.02,18590156.39,14615160.07,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-MX,Will the Mexico win the 2026 Men's World Cup?,0.03,0.031,0.0305,0.03,44579251.08,31512795.16,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-MA,Will the Morocco win the 2026 Men's World Cup?,0.02,0.021,0.0205,0.02,22649253.14,17227799.62,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-EC,Will the Ecuador win the 2026 Men's World Cup?,0.004,0.005,0.0045,0.005,20242772.73,16375514.63,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CO,Will the Colombia win the 2026 Men's World Cup?,0.027,0.028,0.0275,0.028,18134803.16,15739745.73,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CH,Will the Switzerland win the 2026 Men's World Cup?,0.008,0.009,0.0085,0.009,13777318.03,11776403.90,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CA,Will the Canada win the 2026 Men's World Cup?,0.002,0.003,0.0025,0.003,15938106.27,14048242.56,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-AT,Will the Austria win the 2026 Men's World Cup?,0.001,0.002,0.0015,0.002,14920138.70,13337774.80,active
KXMENWORLDCUP,KXMENWORLDCUP-26,KXMENWORLDCUP-26-US,Will the USA win the 2026 Men's World Cup?,0.038,0.039,0.0385,0.039,55568236.58,40236810.88,active
