wc,date,home_team,away_team,over15,under15,btts_yes,btts_no,over25,under25
2018,2018-06-14,Russia,Saudi Arabia,,,,,,
2018,2018-06-15,Egypt,Uruguay,,,,,,
2018,2018-06-15,Morocco,Iran,,,2.5,1.51,,
2018,2018-06-15,Portugal,Spain,,,1.95,1.85,,
2018,2018-06-16,France,Australia,,,,,,
2018,2018-06-16,Argentina,Iceland,,,,,,
2018,2018-06-16,Peru,Denmark,,,2.47,1.55,,
2018,2018-06-16,Croatia,Nigeria,,,2.15,1.69,,
2018,2018-06-17,Costa Rica,Serbia,,,2.37,1.57,,
2018,2018-06-17,Germany,Mexico,,,1.75,2.08,,
2018,2018-06-17,Brazil,Switzerland,,,,,,
2018,2018-06-18,Sweden,South Korea,,,2.28,1.63,,
2018,2018-06-18,Belgium,Panama,,,2.5,1.54,,
2018,2018-06-18,Tunisia,England,,,2.38,1.57,,
2018,2018-06-19,Colombia,Japan,,,2.24,1.66,,
2018,2018-06-19,Poland,Senegal,,,2.07,1.77,,
2018,2018-06-19,Russia,Egypt,,,2.17,1.68,,
2018,2018-06-20,Portugal,Morocco,,,2.01,1.79,,
2018,2018-06-20,Uruguay,Saudi Arabia,,,,,,
2018,2018-06-20,Iran,Spain,,,2.49,1.51,,
2018,2018-06-21,Denmark,Australia,,,2.12,1.73,,
2018,2018-06-21,France,Peru,,,,,,
2018,2018-06-21,Argentina,Croatia,,,1.95,1.82,,
2018,2018-06-22,Brazil,Costa Rica,,,2.65,1.48,,
2018,2018-06-22,Nigeria,Iceland,,,2.24,1.65,,
2018,2018-06-22,Serbia,Switzerland,,,2.03,1.79,,
2018,2018-06-23,Belgium,Tunisia,,,2.1,1.74,,
2018,2018-06-23,South Korea,Mexico,,,1.9,1.9,,
2018,2018-06-23,Germany,Sweden,,,1.73,1.99,,
2018,2018-06-24,England,Panama,,,,,,
2018,2018-06-24,Japan,Senegal,,,2.06,1.74,,
2018,2018-06-24,Poland,Colombia,,,1.96,1.82,,
2018,2018-06-25,Russia,Uruguay,,,1.93,1.85,,
2018,2018-06-25,Saudi Arabia,Egypt,,,2.06,1.75,,
2018,2018-06-25,Spain,Morocco,,,1.82,1.89,,
2018,2018-06-25,Iran,Portugal,,,2.02,1.79,,
2018,2018-06-26,Australia,Peru,,,1.84,1.95,,
2018,2018-06-26,Denmark,France,,,1.91,1.86,,
2018,2018-06-26,Nigeria,Argentina,,,1.73,2.08,,
2018,2018-06-26,Iceland,Croatia,,,,,,
2018,2018-06-27,South Korea,Germany,,,1.98,1.8,,
2018,2018-06-27,Mexico,Sweden,,,1.78,2.02,,
2018,2018-06-27,Serbia,Brazil,,,1.76,2.04,,
2018,2018-06-27,Switzerland,Costa Rica,,,,,,
2018,2018-06-28,Japan,Poland,,,1.84,1.98,,
2018,2018-06-28,Senegal,Colombia,,,1.79,1.88,,
2018,2018-06-28,Panama,Tunisia,,,2.04,1.78,,
2018,2018-06-28,England,Belgium,,,,,,
2018,2018-06-30,France,Argentina,,,,,,
2018,2018-06-30,Uruguay,Portugal,,,,,,
2018,2018-07-01,Russia,Spain,,,,,,
2018,2018-07-01,Croatia,Denmark,,,,,,
2018,2018-07-02,Brazil,Mexico,,,1.86,1.87,,
2018,2018-07-02,Belgium,Japan,,,1.87,1.89,,
2018,2018-07-03,Sweden,Switzerland,,,1.98,1.81,,
2018,2018-07-03,Colombia,England,,,2.05,1.67,,
2018,2018-07-06,Uruguay,France,,,2.09,1.59,,
2018,2018-07-06,Brazil,Belgium,,,,,,
2018,2018-07-07,Sweden,England,,,2.1,1.7,,
2018,2018-07-07,Russia,Croatia,,,,,,
2018,2018-07-10,France,Belgium,,,1.65,2.05,,
2018,2018-07-11,Croatia,England,,,2.13,1.7,,
2018,2018-07-14,Belgium,England,,,,,,
2018,2018-07-15,France,Croatia,,,2.2,1.6,,
2022,2022-11-20,Qatar,Ecuador,,,2.11,1.72,,
2022,2022-11-21,Senegal,Netherlands,,,2.2,1.68,,
2022,2022-11-21,England,Iran,,,2.81,1.44,,
2022,2022-11-21,United States,Wales,,,1.94,1.87,,
2022,2022-11-22,Argentina,Saudi Arabia,,,3.2,1.36,,
2022,2022-11-22,Mexico,Poland,,,1.95,1.84,,
2022,2022-11-22,Denmark,Tunisia,,,2.23,1.66,,
2022,2022-11-22,France,Australia,,,2.47,1.54,,
2022,2022-11-23,Germany,Japan,,,1.79,2.03,,
2022,2022-11-23,Spain,Costa Rica,,,,,,
2022,2022-11-23,Morocco,Croatia,,,1.91,1.9,,
2022,2022-11-23,Belgium,Canada,,,,,,
2022,2022-11-24,Switzerland,Cameroon,,,2.05,1.73,,
2022,2022-11-24,Brazil,Serbia,,,1.98,1.82,,
2022,2022-11-24,Uruguay,South Korea,,,2.1,1.72,,
2022,2022-11-24,Portugal,Ghana,,,2.31,1.62,,
2022,2022-11-25,Qatar,Senegal,,,2.32,1.61,,
2022,2022-11-25,Netherlands,Ecuador,,,2.13,1.73,,
2022,2022-11-25,Wales,Iran,,,2.15,1.7,,
2022,2022-11-25,England,United States,,,2.3,1.62,,
2022,2022-11-26,Poland,Saudi Arabia,,,2.21,1.59,,
2022,2022-11-26,Argentina,Mexico,,,,,,
2022,2022-11-26,Tunisia,Australia,,,2.03,1.8,,
2022,2022-11-26,France,Denmark,,,1.96,1.85,,
2022,2022-11-27,Japan,Costa Rica,,,,,,
2022,2022-11-27,Spain,Germany,,,1.61,2.25,,
2022,2022-11-27,Belgium,Morocco,,,,,,
2022,2022-11-27,Croatia,Canada,,,1.87,1.91,,
2022,2022-11-28,Cameroon,Serbia,,,1.81,1.87,,
2022,2022-11-28,Brazil,Switzerland,,,2.15,1.64,,
2022,2022-11-28,South Korea,Ghana,,,2.03,1.78,,
2022,2022-11-28,Portugal,Uruguay,,,,,,
2022,2022-11-29,Ecuador,Senegal,,,,,,
2022,2022-11-29,Qatar,Netherlands,,,2.17,1.69,,
2022,2022-11-29,Wales,England,,,2.31,1.62,,
2022,2022-11-29,Iran,United States,,,2.03,1.8,,
2022,2022-11-30,Poland,Argentina,,,,,,
2022,2022-11-30,Saudi Arabia,Mexico,,,2.07,1.76,,
2022,2022-11-30,Australia,Denmark,,,2.25,1.61,,
2022,2022-11-30,Tunisia,France,,,2.2,1.68,,
2022,2022-12-01,Japan,Spain,,,2.2,1.68,,
2022,2022-12-01,Costa Rica,Germany,,,2.78,1.36,,
2022,2022-12-01,Croatia,Belgium,,,1.75,2.01,,
2022,2022-12-01,Canada,Morocco,,,2.15,1.71,,
2022,2022-12-02,Serbia,Switzerland,,,,,,
2022,2022-12-02,Cameroon,Brazil,,,1.96,1.7,,
2022,2022-12-02,Ghana,Uruguay,,,1.94,1.82,,
2022,2022-12-02,South Korea,Portugal,,,,,,
2022,2022-12-03,Netherlands,United States,,,2.07,1.75,,
2022,2022-12-03,Argentina,Australia,,,2.25,1.54,,
2022,2022-12-04,France,Poland,,,2.1,1.74,,
2022,2022-12-04,England,Senegal,,,2.43,1.57,,
2022,2022-12-05,Japan,Croatia,,,,,,
2022,2022-12-05,Brazil,South Korea,,,2.2,1.49,,
2022,2022-12-06,Morocco,Spain,,,2.05,1.67,,
2022,2022-12-06,Portugal,Switzerland,,,1.65,2.09,,
2022,2022-12-09,Croatia,Brazil,,,2.24,1.66,,
2022,2022-12-09,Netherlands,Argentina,,,1.85,1.76,,
2022,2022-12-10,Morocco,Portugal,,,,,,
2022,2022-12-10,England,France,,,1.7,1.97,,
2022,2022-12-13,Argentina,Croatia,,,2.0,1.78,,
2022,2022-12-14,France,Morocco,,,2.02,1.67,,
2022,2022-12-17,Croatia,Morocco,,,,,,
2022,2022-12-18,Argentina,France,,,1.68,2.04,,
