tournament,date,home_team,away_team,elo_diff,reliable_zone,actual,p_home,p_draw,p_away,q_home,q_draw,q_away,took_trade,bet_side,bet_outcome,model_p,market_ask,net_edge,contracts,stake,fee,total_cost,bet_won,pnl,tag
2018,2018-06-14,Russia,Saudi Arabia,43.6,True,home,0.4426,0.2668,0.2906,0.669,0.2215,0.1095,True,no,home,0.5574,0.331,0.2109,127,42.31,1.97,44.0,False,-44.0,favorite-fade
2018,2018-06-15,Egypt,Uruguay,-191.1,False,away,0.2051,0.2501,0.5447,0.1476,0.2525,0.5998,False,yes,home,0.2051,0.1476,0.0485,57,8.43,0.51,8.93,,,
2018,2018-06-15,Morocco,Iran,-64.5,True,away,0.366,0.2829,0.351,0.4255,0.3191,0.2553,True,yes,away,0.351,0.2553,0.0823,62,16.07,0.83,16.66,True,45.34,favorite-boost
2018,2018-06-15,Portugal,Spain,-75.2,True,draw,0.3373,0.2568,0.4059,0.2402,0.2911,0.4687,True,yes,home,0.3373,0.2402,0.0842,66,15.98,0.85,16.7,False,-16.7,favorite-fade
2018,2018-06-16,France,Australia,198.0,False,home,0.6075,0.2247,0.1678,0.7666,0.1597,0.0737,False,no,home,0.3925,0.2334,0.1464,111,25.94,1.4,27.31,,,
2018,2018-06-16,Argentina,Iceland,222.2,False,draw,0.7498,0.1641,0.0861,0.7108,0.202,0.0872,False,no,draw,0.8359,0.798,0.0265,29,23.43,0.33,23.47,,,
2018,2018-06-16,Peru,Denmark,120.4,True,away,0.3481,0.2655,0.3864,0.2968,0.3014,0.4019,True,yes,home,0.3481,0.2968,0.0367,30,9.13,0.44,9.34,False,-9.34,favorite-boost
2018,2018-06-16,Croatia,Nigeria,168.5,False,home,0.7215,0.1753,0.1032,0.5496,0.2672,0.1832,False,yes,home,0.7215,0.5496,0.1545,86,47.71,1.5,48.77,,,
2018,2018-06-17,Costa Rica,Serbia,39.0,True,away,0.3322,0.2647,0.403,0.2141,0.2919,0.494,True,yes,home,0.3322,0.2141,0.1063,87,18.79,1.03,19.65,False,-19.65,favorite-boost
2018,2018-06-17,Germany,Mexico,188.6,False,away,0.6344,0.2131,0.1525,0.6598,0.2126,0.1276,False,yes,away,0.1525,0.1276,0.0167,27,3.57,0.22,3.66,,,
2018,2018-06-17,Brazil,Switzerland,253.9,False,draw,0.4499,0.2575,0.2926,0.6807,0.2072,0.1121,False,no,home,0.5501,0.3193,0.2156,132,42.38,2.01,44.16,,,
2018,2018-06-18,Sweden,South Korea,46.9,True,home,0.5126,0.2512,0.2363,0.4666,0.2943,0.2391,False,no,draw,0.7488,0.7057,0.0283,25,18.33,0.37,18.01,,,
2018,2018-06-18,Belgium,Panama,214.3,False,home,0.7036,0.1847,0.1117,0.8177,0.1287,0.0536,False,no,home,0.2964,0.1823,0.1036,95,17.45,1.0,18.32,,,
2018,2018-06-18,Tunisia,England,-221.3,False,away,0.164,0.2256,0.6104,0.1131,0.2236,0.6632,False,yes,home,0.164,0.1131,0.0437,63,7.17,0.45,7.58,,,
2018,2018-06-19,Russia,Egypt,-12.6,True,home,0.3698,0.2756,0.3545,0.4672,0.2993,0.2336,True,yes,away,0.3545,0.2336,0.1083,84,19.72,1.06,20.68,False,-20.68,favorite-boost
2018,2018-06-19,Colombia,Japan,204.8,False,away,0.5518,0.2457,0.2025,0.5614,0.2651,0.1735,False,yes,away,0.2025,0.1735,0.0186,25,4.38,0.26,4.6,,,
2018,2018-06-19,Poland,Senegal,19.6,True,away,0.2202,0.2547,0.5251,0.4083,0.3095,0.2822,True,yes,away,0.5251,0.2822,0.2287,149,42.3,2.12,44.17,True,104.83,favorite-fade
2018,2018-06-20,Portugal,Morocco,194.5,False,home,0.5682,0.2393,0.1924,0.5831,0.2566,0.1603,False,yes,away,0.1924,0.1603,0.0224,29,4.77,0.28,4.93,,,
2018,2018-06-20,Uruguay,Saudi Arabia,247.3,False,home,0.6148,0.2253,0.1599,0.8177,0.1287,0.0536,False,no,home,0.3852,0.1823,0.1925,170,31.03,1.78,32.76,,,
2018,2018-06-20,Iran,Spain,-205.3,False,away,0.1644,0.2229,0.6127,0.0533,0.1475,0.7992,False,no,away,0.3873,0.2008,0.1753,145,29.17,1.63,30.75,,,
2018,2018-06-21,Denmark,Australia,53.8,True,draw,0.253,0.2605,0.4865,0.5048,0.2821,0.2131,True,yes,away,0.4865,0.2131,0.2616,203,43.43,2.39,45.66,False,-45.66,favorite-fade
2018,2018-06-21,France,Peru,23.8,True,home,0.7484,0.1626,0.089,0.615,0.2383,0.1467,True,yes,home,0.7484,0.615,0.1166,70,43.3,1.17,44.22,True,25.78,favorite-boost
